text	x1	y1	x2	y2	confidence	class_id	class_name
"a  reflection  on  “referential  meaning”  to  a  generative  source  of  “affective  meaning”,  which 
marks  the  ongoing  formation  of  social  connections  preceding  cognitive  understanding.   
"	67.28443	52.41795	543.33954	84.51335	0.8140007853507996	24.0	MainZone-P-Continued
" 
Nonsensical  memes  are  thus  the  result  of  everlasting  processes,  devoid  of  any  intent  to  
reach  mutual  consent.  Yet  doing  it  “for  the  lulz”  (Colman,  2014;;  Phillips,  2015)  does  not  
merely  reflect  people  doing  silly  things  over  the  internet.  Quite  the  contrary;;  the  creation  
of   texts   for   their   sheer   enjoyment   is   subversive,   as   it   liberates   participants   from   the  
burdensome   obligation   to   generate   new   meanings.   Moreover,   this   obliteration   of  
referential  meaning  may  enable  the  creation  of  inclusive  communities:  as  perpetual  empty  
templates,   nonsocial   memes   can   potentially   include   anyone   and   anything,   allowing   a  
variety  of  participants  to  express  their  quirky  creatively  without  being  sanctioned.  Future  
studies  could  determine  how,  and  to  what  extent,  this  potential  is  realized.   
"	68.08571	93.06523	544.8693	221.81355	0.9392452836036682	23.0	MainZone-P
"  
References   
"	67.68896	243.75452	141.25401	264.85922	0.7760341167449951	17.0	MainZone-Head
" 
Barthes,  R.  (1978).  Image-­music-­text.  New  York,  NY:  Farrar,  Straus  and  Giroux.             
"	67.39314	273.3302	515.499	288.42545	0.3114392459392547	14.0	MainZone-Entry
" 
Barthes,  R.  (1978).  Image-­music-­text.  New  York,  NY:  Farrar,  Straus  and  Giroux.  
Colman,  G.  (2014).  Hacker,  hoaxer,  whistleblower,  spy:  The  many  faces  of  Anonymous. 
London,  UK;;  New  York,  NY:  Verso.                
"	65.49631	273.9088	538.5106	315.35397	0.7271451354026794	14.0	MainZone-Entry
", 
;;  
,    
Corbin,  J.,  &  Strauss,  A.  (1998).  Basics  of  qualitative  research:  Techniques  and  
procedures  for  developing  grounded  theory  (2nd  Ed.).Thousand  Oaks,  CA:  Sage.              
"	67.03921	315.05914	544.30786	343.6425	0.7338453531265259	14.0	MainZone-Entry
"p  
p g  g 
y  ( 
)   
g 
Jameson,  F.  (1991).  Postmodernism,  or,  the  cultural  logic  of  late  capitalism.  Durham,  
NC:  Duke  University  Press.                 
"	67.32824	342.89423	539.4304	371.18997	0.7067540884017944	14.0	MainZone-Entry
"Knobel,  M.,  &  Lankshear,  C.  (2008).  Remix:  The  art  and  craft  of  endless  
hybridization.  Journal  of  Adolescent  &  Adult  Literacy,  52,  22–33.             
"	67.48167	371.33035	461.845	398.73843	0.7677924036979675	14.0	MainZone-Entry
"y      
y   
Kress,  G.,  &  van  Leeuwen,  T.  (2001).  Multimodal  Discourse.  London,  UK:  Arnold.             
"	66.239586	398.58804	517.68146	414.36957	0.6103520393371582	14.0	MainZone-Entry
"Miller,  V.  (2008).  New  media,  networking  and  phatic  culture,  Convergence,  14,  387–
400.               
"	65.5805	413.51505	524.2252	439.25278	0.651519238948822	14.0	MainZone-Entry
"  
Milner,  R.  (2013).  Pop  polyvocality:  Internet  memes,  public  participation,  and  the  
Occupy  Wall  Street  movement.  International  Journal  of  Communication,  7,  2357–
2390.            
"	66.23405	439.74472	538.45416	481.263	0.8243591785430908	14.0	MainZone-Entry
" 
Papacharissi,  Z.  (2015).  Affective  publics  and  structures  of  storytelling:  sentiment,  
events  and  mediality.  Information,  Communication  &  Society,  Advance  online  
publication.  doi:  10.1080/1369118X.2015.1109697  
"	65.640015	481.37454	526.6924	521.37415	0.8706910610198975	14.0	MainZone-Entry
"p   
Phillips,  W.  (2015).  This  is  why  we  can’t  have  nice  things:  Mapping  the  relationship  
between  online  trolling  and  mainstream  culture.  Cambridge,  MA:  MIT  Press.              
"	66.04028	522.07007	520.499	550.2218	0.7195240259170532	14.0	MainZone-Entry
"Rackin,  D.  (1991).  Alice’s  adventures  in  wonderland  and  Through  the  looking  glass:  
Nonsense,  sense,  and  meaning.  Woodbridge,  CT:  Twayne.              
"	66.071	551.1193	527.46625	577.93744	0.6099396347999573	14.0	MainZone-Entry
"   
g 
g  
y 
Rieder,  J.  (1998).  Edward  Lear’s  limericks:  The  function  of  children’s  nonsense  poetry. 
Children’s  Literature,  26,  47–60.               
"	66.75556	577.7482	532.5011	606.0486	0.6638530492782593	14.0	MainZone-Entry
"     
Shifman,  L.  (2013).  Memes  in  digital  culture.  Cambridge,  MA:  MIT  Press.   
"	67.2806	605.04767	462.62137	622.25745	0.5702775120735168	14.0	MainZone-Entry
